"Source:","/home/ck84/Documents/modular/cephlasonic/useq/useq.kicad_sch"
"Date:","Fri 05 May 2023 17:27:54 BST"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","R2","100k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R3","2k2","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R4","2k2","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R5","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R6","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R7","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R8","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R9","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R10","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R11","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R12","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R13","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R14","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R15","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","R16","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"","","S1","PEC11R-4215F-S0024","dk_Encoders:PEC11R-4215F-S0024","digikey-footprints:Rotary_Encoder_Switched_PEC11R","https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf","Sensors, Transducers","https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf","/product-detail/en/bourns-inc/PEC11R-4215F-S0024/PEC11R-4215F-S0024-ND/4499665","ROTARY ENCODER MECHANICAL 24PPR","PEC11R-4215F-S0024-ND","Encoders","PEC11R-4215F-S0024","Bourns Inc.","Active"
"","","S2","B3U-1000P","dk_Tactile-Switches:B3U-1000P","digikey-footprints:Switch_Tactile_SMD_B3U-1000P","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","Switches","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357","SWITCH TACTILE SPST-NO 0.05A 12V","SW1020CT-ND","Tactile Switches","B3U-1000P","Omron Electronics Inc-EMC Div","Active"
"","","SW1","SW_Push","Switch:SW_Push","Eurocad:PBS-105","~","","","","","","","","",""
"","","SW2","SW_Push","Switch:SW_Push","Eurocad:PBS-105","~","","","","","","","","",""
"","","SW3","SW_SPST","Switch:SW_SPST","benjiaomodular:ToggleSwitch_MTS-101_SPST","~","","","","","","","","",""
"","","U1","Pico","MCU_RaspberryPi_and_Boards:Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_Pinheaders","","","","","","","","","",""
"","","U2","4504","4xxx:4504","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/cd4504b.pdf","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","1","C1","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"2","1","C2","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"3","2","C3, C4","4.7n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"4","4","C5, C6, C7, C8","(4.7n)","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"5","5","D1, D2, D3, D4, D5","1N5819","Diode:1N5818","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","",""
"6","8","D6, D7, D8, D9, D10, D11, D12, D13","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","",""
"7","1","H1","PIN_HEADER_2x8","eurocad:PIN_HEADER_2x8","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","","","","","","","","","",""
"8","8","J1, J2, J3, J4, J5, J6, J7, J8","AudioJack2_SwitchT","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"9","1","J9","PJ366ST","w_connector:PJ366ST","w_connector:PJ366ST","https://www.thonk.co.uk/shop/3-5mm-jacks/","","","","","","","","",""
"10","1","J10","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"11","1","J11","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","",""
"12","2","Q1, Q2","2N3904","dk_Transistors-Bipolar-BJT-Single:MMBT3904-TP","digikey-footprints:SOT-23-3","https://www.mccsemi.com/pdf/Products/MMBT3904(SOT-23).pdf","Discrete Semiconductor Products","https://www.mccsemi.com/pdf/Products/MMBT3904(SOT-23).pdf","/product-detail/en/micro-commercial-co/MMBT3904-TP/MMBT3904TPMSCT-ND/717395","TRANS NPN 40V 0.2A SOT23","MMBT3904TPMSCT-ND","Transistors - Bipolar (BJT) - Single","MMBT3904-TP","Micro Commercial Co","Active"
"13","2","R1, R2","100k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"14","2","R3, R4","2k2","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"15","4","R5, R6, R15, R16","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"16","8","R7, R8, R9, R10, R11, R12, R13, R14","910","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","",""
"17","1","S1","PEC11R-4215F-S0024","dk_Encoders:PEC11R-4215F-S0024","digikey-footprints:Rotary_Encoder_Switched_PEC11R","https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf","Sensors, Transducers","https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf","/product-detail/en/bourns-inc/PEC11R-4215F-S0024/PEC11R-4215F-S0024-ND/4499665","ROTARY ENCODER MECHANICAL 24PPR","PEC11R-4215F-S0024-ND","Encoders","PEC11R-4215F-S0024","Bourns Inc.","Active"
"18","1","S2","B3U-1000P","dk_Tactile-Switches:B3U-1000P","digikey-footprints:Switch_Tactile_SMD_B3U-1000P","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","Switches","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357","SWITCH TACTILE SPST-NO 0.05A 12V","SW1020CT-ND","Tactile Switches","B3U-1000P","Omron Electronics Inc-EMC Div","Active"
"19","2","SW1, SW2","SW_Push","Switch:SW_Push","Eurocad:PBS-105","~","","","","","","","","",""
"20","1","SW3","SW_SPST","Switch:SW_SPST","benjiaomodular:ToggleSwitch_MTS-101_SPST","~","","","","","","","","",""
"21","1","U1","Pico","MCU_RaspberryPi_and_Boards:Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_Pinheaders","","","","","","","","","",""
"22","1","U2","4504","4xxx:4504","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/cd4504b.pdf","","","","","","","","",""
